KOLKATA,
,-SelectOne-
10,Winter2000-2001
15,Monsoon2001
20,Winter2001-2002
28,Monsoon2002
36,Winter2002-2003
42,Monsoon2003
50,Winter2003-2004
56,Monsoon2004
59,Winter2004-2005
68,Monsoon2005
72,Winter2005-2006
80,Monsoon2006
83,Winter2006-2007
102,ChristmasMeeting2007
103,WinterMeeting2008
104,SpringMeeting2008
106,SummerMeeting2008
110,MONSOONMEETING2008
121,WINTERMEETING2008-09
123,SPRINGMEETING2009
127,MONSOONSEASON2009
131,AUTUMNMEETING2009
135,WINTERMEETING2010
137,SUMMERMEETING2010
140,MONSOONSEASON2010
145,SPRINGMEETING2010
150,WINTERMEETING2010-11
156,MONSOONSEASON2011
161,WINTERMEETING2011-12
167,AUTUMNMEETING2011
168,CHRISTMASMEETING2011
181,MONSOONSEASON2012
197,Season2012-13
215,MONSOONSEASON2013
218,WinterSeason2013-14
226,MONSOONSEASON2014
230,WinterSeason2014-15
237,MonsoonSeason2015
242,WinterSeason2015-16
254,MonsoonSeason2016
262,WinterSeason2016-17
271,MonsoonSeason2017
277,WinterSeason2017-18
285,MonsoonSeason2018
,-SelectOne-
2007-11-25,25-11-2007
2007-11-30,30-11-2007
2007-12-01,01-12-2007
2007-12-08,08-12-2007
2007-12-15,15-12-2007
2007-12-20,20-12-2007
2007-12-22,22-12-2007
2008-01-01,01-01-2008
2008-01-05,05-01-2008
2008-01-13,13-01-2008
2008-01-19,19-01-2008
2008-01-23,23-01-2008
2008-01-26,26-01-2008
2008-01-30,30-01-2008
2008-02-02,02-02-2008
2008-02-09,09-02-2008
2008-02-16,16-02-2008
2008-02-23,23-02-2008
2008-02-28,28-02-2008
2008-03-08,08-03-2008
2008-03-15,15-03-2008
2008-03-19,19-03-2008
2008-03-26,26-03-2008
2008-03-29,29-03-2008
2008-04-03,03-04-2008
2008-04-04,04-04-2008
2008-04-10,10-04-2008
2008-04-11,11-04-2008
2008-07-11,11-07-2008
2008-07-16,16-07-2008
2008-07-19,19-07-2008
2008-07-26,26-07-2008
2008-07-30,30-07-2008
2008-08-06,06-08-2008
2008-08-13,13-08-2008
2008-08-16,16-08-2008
2008-08-21,21-08-2008
2008-08-27,27-08-2008
2008-09-03,03-09-2008
2008-09-10,10-09-2008
2008-09-13,13-09-2008
2008-09-17,17-09-2008
2008-09-20,20-09-2008
2008-09-24,24-09-2008
2008-10-01,01-10-2008
2008-10-05,05-10-2008
2008-10-15,15-10-2008
2008-10-18,18-10-2008
2009-01-01,01-01-2009
2009-01-11,11-01-2009
2009-01-17,17-01-2009
2009-01-18,18-01-2009
2009-01-24,24-01-2009
2009-02-01,01-02-2009
2009-02-04,04-02-2009
2009-02-07,07-02-2009
2009-02-11,11-02-2009
2009-02-15,15-02-2009
2009-02-18,18-02-2009
2009-02-21,21-02-2009
2009-02-28,28-02-2009
2009-03-07,07-03-2009
2009-03-13,13-03-2009
2009-03-14,14-03-2009
2009-03-20,20-03-2009
2009-03-21,21-03-2009
2009-03-25,25-03-2009
2009-03-28,28-03-2009
2009-04-02,02-04-2009
2009-04-03,03-04-2009
2009-04-10,10-04-2009
2009-04-16,16-04-2009
2009-04-17,17-04-2009
2009-07-15,15-07-2009
2009-07-22,22-07-2009
2009-07-25,25-07-2009
2009-08-01,01-08-2009
2009-08-05,05-08-2009
2009-08-08,08-08-2009
2009-08-12,12-08-2009
2009-08-19,19-08-2009
2009-08-20,20-08-2009
2009-08-26,26-08-2009
2009-08-29,29-08-2009
2009-09-02,02-09-2009
2009-09-05,05-09-2009
2009-09-09,09-09-2009
2009-09-16,16-09-2009
2009-09-19,19-09-2009
2009-09-23,23-09-2009
2009-09-30,30-09-2009
2009-10-04,04-10-2009
2009-10-07,07-10-2009
2009-10-10,10-10-2009
2009-10-14,14-10-2009
2009-11-01,01-11-2009
2009-11-08,08-11-2009
2009-11-12,12-11-2009
2009-11-15,15-11-2009
2009-11-21,21-11-2009
2009-11-28,28-11-2009
2009-12-05,05-12-2009
2009-12-12,12-12-2009
2009-12-16,16-12-2009
2009-12-19,19-12-2009
2009-12-26,26-12-2009
2010-01-01,01-01-2010
2010-01-10,10-01-2010
2010-01-22,22-01-2010
2010-01-23,23-01-2010
2010-01-27,27-01-2010
2010-01-29,29-01-2010
2010-01-30,30-01-2010
2010-02-03,03-02-2010
2010-02-13,13-02-2010
2010-02-17,17-02-2010
2010-02-20,20-02-2010
2010-02-27,27-02-2010
2010-03-03,03-03-2010
2010-03-10,10-03-2010
2010-03-13,13-03-2010
2010-03-17,17-03-2010
2010-03-20,20-03-2010
2010-03-24,24-03-2010
2010-03-27,27-03-2010
2010-03-31,31-03-2010
2010-04-01,01-04-2010
2010-04-08,08-04-2010
2010-04-09,09-04-2010
2010-04-14,14-04-2010
